ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
2000,"TWO UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
17700,"ACCESSORY BUILDING"
22000,"TWO UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
800000,"MULTI-UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
505000,WAREHOUSE
175000,"SINGLE UNIT DWELLING"
0,"AUTO DEALERSHIP"
16000,"ACCESSORY BUILDING"
25000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
1800,"FIRE STATION"
42000,"SINGLE UNIT DWELLING"
54600,"SINGLE UNIT DWELLING"
58000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
16945,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
150000,"ACCESSORY BUILDING"
10000,OFFICE
600000,"SINGLE UNIT DWELLING"
800000,"MULTI-UNIT DWELLING"
400000,"TWO UNIT DWELLING"
400000,"TWO UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
50000,BAR/RESTAURANT
210000,"SINGLE UNIT DWELLING"
0,"BOARDING HOUSE"
12000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
7000,"ACCESSORY BUILDING"
10000,"SINGLE UNIT DWELLING"
640000,"MULTI-UNIT DWELLING"
26800,"TWO UNIT DWELLING"
630000,"PARKING STRUCTURE"
78000,"PARKING STRUCTURE"
175000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
75000,"ACCESSORY BUILDING"
45500,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
1608000,"PLACE OF WORSHIP"
2800,"TWO UNIT DWELLING"
1500,"MULTI-UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
0,SUPERMARKET
275000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
55000,"OTHER RETAIL"
20000,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
185000,"SHOPPING CENTRE"
700000,DAYCARE
5000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
18940,"ACCESSORY BUILDING"
0,"SINGLE UNIT DWELLING"
40000,"MULTI-UNIT DWELLING"
20000,"TWO UNIT DWELLING"
9000,"ACCESSORY BUILDING"
80000,"MOBILE HOME"
457000,"NURSING HOME"
300000,"SINGLE UNIT DWELLING"
75000,OFFICE
750000,"MULTI-UNIT DWELLING"
750000,TOWNHOUSE
792000,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
1600,"MULTI COMMERCIAL"
160000,"SINGLE UNIT DWELLING"
125800,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
2500000,"BUS TERMINAL"
350000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
200000,"MULTI-UNIT DWELLING"
350000,"TWO UNIT DWELLING"
150000,"TWO UNIT DWELLING"
260000,"TWO UNIT DWELLING"
350000,"TWO UNIT DWELLING"
7500,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
123594,"MOBILE HOME"
450000,"SINGLE UNIT DWELLING"
100,"MULTI-UNIT DWELLING"
2000,"ACCESSORY BUILDING"
19400,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
120000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
1100,"MULTI COMMERCIAL"
320000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
16000,"SINGLE UNIT DWELLING"
5497,"ACCESSORY BUILDING"
210000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
12000,"SINGLE UNIT DWELLING"
200000,"MULTI-UNIT DWELLING"
200000,"MULTI-UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
125000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
7000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
80000,"SINGLE UNIT DWELLING"
24000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
1300,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
3000,"MULTI COMMERCIAL"
10000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
55000,"MULTI COMMERCIAL"
10000,"ACCESSORY BUILDING"
1500,"SINGLE UNIT DWELLING"
96000,"MOBILE HOME"
175000,"SINGLE UNIT DWELLING"
350000,"OTHER RETAIL"
40000,"TWO UNIT DWELLING"
35000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
70000,"TWO UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
259000,"SINGLE UNIT DWELLING"
300000,"MULTI-UNIT DWELLING"
13000,TOWNHOUSE
200000,"SINGLE UNIT DWELLING"
190000,BAR/RESTAURANT
620000,OFFICE
260000,"MULTI-UNIT DWELLING"
3000,"MULTI-UNIT DWELLING"
0,"OTHER SERVICE"
2000,"TWO UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
44000,"MOBILE HOME"
210000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
120000,"SINGLE UNIT DWELLING"
180000,"TWO UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
4000,"TWO UNIT DWELLING"
60000,"MULTI COMMERCIAL"
6000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
125000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
14000,"SHOPPING CENTRE"
8000,"ACCESSORY BUILDING"
180000,"MULTI-UNIT DWELLING"
0,"MOBILE HOME"
83000,"MULTI-UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
67000,"ACCESSORY BUILDING"
18000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
103194,"MOBILE HOME"
250000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
210000,"SINGLE UNIT DWELLING"
85000,OFFICE
20000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
5800,"SINGLE UNIT DWELLING"
4000,"TWO UNIT DWELLING"
222000,"TWO UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
5700,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
35000,"ACCESSORY BUILDING"
4000,"TWO UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
0,"ACCESSORY BUILDING"
429000,"SINGLE UNIT DWELLING"
1300000,"OTHER RETAIL"
5500,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
5000,"OTHER SERVICE"
18000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
230000,"OTHER RETAIL"
27000,"MULTI-UNIT DWELLING"
360000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
30000,"TWO UNIT DWELLING"
17000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
125000,OFFICE
550000,TOWNHOUSE
60000,"ACCESSORY BUILDING"
53000,"SINGLE UNIT DWELLING"
40000,"MULTI-UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
30000,"NON PROFIT"
80000,"TWO UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
17000,"MULTI-UNIT DWELLING"
36000,"SINGLE UNIT DWELLING"
90000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
275000,"MULTI-UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
20000,"MULTI COMMERCIAL"
600000,"TWO UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
20000,"MULTI COMMERCIAL"
175000,"PLACE OF WORSHIP"
950000,"OTHER RETAIL"
36745,"ACCESSORY BUILDING"
230000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
225000,"SINGLE UNIT DWELLING"
0,"TWO UNIT DWELLING"
250000,"OTHER SERVICE"
14000,"ACCESSORY BUILDING"
125000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
145000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
400000,HOTEL/MOTEL
20000,"SHOPPING CENTRE"
100000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
2000,"TWO UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
12000,OFFICE
50000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
7500,"SINGLE UNIT DWELLING"
600000,"TWO UNIT DWELLING"
5000,"BED & BREAKFAST"
175000,"SINGLE UNIT DWELLING"
7000,"ACCESSORY BUILDING"
2000,BAR/RESTAURANT
135000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
4000,"ACCESSORY BUILDING"
350000,"TWO UNIT DWELLING"
10000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
29000,"SINGLE UNIT DWELLING"
4000,"TWO UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
425000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
18000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
24000,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
30000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
0,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
420000,"MULTI-UNIT DWELLING"
420000,"MULTI-UNIT DWELLING"
420000,"MULTI-UNIT DWELLING"
420000,"MULTI-UNIT DWELLING"
420000,"MULTI-UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
57100,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
0,"PLACE OF WORSHIP"
200000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
100000,"MOBILE HOME"
149000,"GAS STATION"
50000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
0,"MULTI COMMERCIAL"
225000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
80000,"MOBILE HOME"
10000,"ACCESSORY BUILDING"
425000,"MULTI-UNIT DWELLING"
15000,OFFICE
6000,"TWO UNIT DWELLING"
400000,"MULTI COMMERCIAL"
54800,"COMMUNITY CENTRE"
220000,"TWO UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
550000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
850000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
235000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
75000,"MULTI-UNIT DWELLING"
5000,"MULTI COMMERCIAL"
300000,"SINGLE UNIT DWELLING"
21000,"ACCESSORY BUILDING"
42500,"TWO UNIT DWELLING"
50000,"TWO UNIT DWELLING"
68000,"MOBILE HOME"
220000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
90750,"MOBILE HOME"
20000,"ACCESSORY BUILDING"
17000,"SINGLE UNIT DWELLING"
2000,OFFICE
25000,"AGRICULTURE FACILITY"
30000,"MULTI-UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
18000,BAR/RESTAURANT
9000,BANK
109185,"MOBILE HOME"
10000,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
10000,BAR/RESTAURANT
6000,"SINGLE UNIT DWELLING"
75000,"MOBILE HOME"
22000,"OTHER RETAIL"
14000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
72000,"MOBILE HOME"
15000,"ACCESSORY BUILDING"
250000,"TWO UNIT DWELLING"
30000,"ACCESSORY BUILDING"
12000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
700000,"MULTI-UNIT DWELLING"
269000,"SINGLE UNIT DWELLING"
139000,"SINGLE UNIT DWELLING"
18000,"SINGLE UNIT DWELLING"
6500,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
132134,"MULTI-UNIT DWELLING"
367654,"MULTI-UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
321000,"PARKING STRUCTURE"
180000,"SINGLE UNIT DWELLING"
200000,BAR/RESTAURANT
5000,"ACCESSORY BUILDING"
20000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
10000,"MULTI-UNIT DWELLING"
49000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
20000,OFFICE
17761,"SINGLE UNIT DWELLING"
64000,"MOBILE HOME"
110000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
50000,"ACCESSORY BUILDING"
11000,"ACCESSORY BUILDING"
1500,"SINGLE UNIT DWELLING"
800000,OFFICE
76000,OFFICE
70000,"SINGLE UNIT DWELLING"
6500,"TWO UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
45000,"SINGLE UNIT DWELLING"
20000,"MULTI COMMERCIAL"
89000,"MOBILE HOME"
20000,"ACCESSORY BUILDING"
60000,"MULTI-UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
7000,"ACCESSORY BUILDING"
300000,"REPAIR GARAGE"
27000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
400000,"TWO UNIT DWELLING"
23000,"ACCESSORY BUILDING"
12000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
220000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
4500,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
70000,"MULTI-UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
45000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
140000,"TWO UNIT DWELLING"
85000,"MULTI-UNIT DWELLING"
100000,"OTHER SERVICE"
250000,"TWO UNIT DWELLING"
140000,"TWO UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
40000,BAR/RESTAURANT
0,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
0,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
6500,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
22000,"ACCESSORY BUILDING"
25000,DAYCARE
400000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
225000,"SINGLE UNIT DWELLING"
200000,"TWO UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
100000,"AGRICULTURE FACILITY"
25000,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
150000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
700000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
4300,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
5300,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
50000,BAR/RESTAURANT
400000,"SINGLE UNIT DWELLING"
69000,"MULTI-UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
100000,OFFICE
175000,"SINGLE UNIT DWELLING"
650000,"OTHER RETAIL"
175000,"OTHER SERVICE"
225000,"OTHER RETAIL"
200000,"SINGLE UNIT DWELLING"
120000,BAR/RESTAURANT
108000,"MULTI COMMERCIAL"
4500,BAR/RESTAURANT
150000,"MIXED RES/COMM"
70000,BAR/RESTAURANT
5000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
0,"OTHER RETAIL"
50000,"SINGLE UNIT DWELLING"
11000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
18000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
1200,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
23437,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
200000,"TWO UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
95000,"SINGLE UNIT DWELLING"
171000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
12000,"OTHER SERVICE"
40000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
80000,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
32000,"MULTI-UNIT DWELLING"
20000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
45000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
350000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
30000,TOWNHOUSE
275000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
22000,"MULTI COMMERCIAL"
0,BAR/RESTAURANT
175000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
135000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
185000,"SINGLE UNIT DWELLING"
38000,"SHOPPING CENTRE"
0,DAYCARE
1307000,WAREHOUSE
3450000,WAREHOUSE
14000,"ACCESSORY BUILDING"
150000,"MEDICAL CLINIC"
165000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
13200,"SINGLE UNIT DWELLING"
397772,"REPAIR GARAGE"
5000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
1500,BAR/RESTAURANT
200000,"SINGLE UNIT DWELLING"
100000,"MULTI-UNIT DWELLING"
300000,"TWO UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
521000,OFFICE
200000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
60000,"ACCESSORY BUILDING"
325000,"SINGLE UNIT DWELLING"
31000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
650000,"MULTI-UNIT DWELLING"
65000,"TWO UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
450000,"MULTI-UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
55000,WAREHOUSE
25000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
10000,"MULTI COMMERCIAL"
15377,"SHOPPING CENTRE"
280000,"MULTI-UNIT DWELLING"
50000,"MOBILE HOME"
129000,"SINGLE UNIT DWELLING"
215000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
129000,"SINGLE UNIT DWELLING"
106000,OFFICE
70000,OFFICE
165000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
16000,"MULTI-UNIT DWELLING"
518000,OFFICE
80000,"MEDICAL CLINIC"
60000,"SHOPPING CENTRE"
35000,"REPAIR GARAGE"
1947500,"REPAIR GARAGE"
200000,"TWO UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
11000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
150000,"MULTI-UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
280000,"TWO UNIT DWELLING"
290000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
8500,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
58000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
175000,"STRIP MALL"
250000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
719600,TOWNHOUSE
200000,"SINGLE UNIT DWELLING"
130000,"TWO UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
8000,"MOBILE HOME"
6000,"OTHER SERVICE"
3490000,WAREHOUSE
26000,OFFICE
14000,"ACCESSORY BUILDING"
6000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
150000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
295000,"SINGLE UNIT DWELLING"
96000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
3800,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
157000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
425000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
12929937,"MULTI-UNIT DWELLING"
228000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
6000,"MULTI-UNIT DWELLING"
550000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
80000,"SINGLE UNIT DWELLING"
345000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
17000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
213890,OFFICE
750000,"MULTI-UNIT DWELLING"
18000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
224000,"SINGLE UNIT DWELLING"
239000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
1200000,WAREHOUSE
170000,"SINGLE UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
